correct predictions in back to the future ii URL,false
.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,true
cops bought the alleged church shooter burger king hours after killings URL,false
🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,unverified
an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,unverified
god put a rainbow over the white house 🌈 URL,true
craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,unverified
#quasimodo: dog with short spine has big heart URL URL,non-rumor
need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL,non-rumor
#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,false
japan's economy minister akira amari resigns over corruption allegations URL,non-rumor
german shepherd with a rare spinal condition looking for a forever home. URL URL,non-rumor
several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,true
"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",true
in heaven chick-fil-a is open on sundays.,false
the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,false
apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,true
"oh, you invented the pencil? #appleevent URL",non-rumor
"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",true
thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL,false
five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,true
"when she heard about south korean ""comfort women,"" @yunghi photographed some survivors URL URL",non-rumor
translucent butterfly - beautiful! URL,false
everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,false
family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,false
why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,false
reports: #charliehebdo suspects killed URL,true
"the kissing islands, greenland. URL",false
police chief says dylann roof was taken to burger king shortly after arrest URL,false
"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",false
russian olympic officials concerned after learning team’s clean urine reservoir almost empty URL URL,non-rumor
it's 2016. women should earn the same pay as men for doing the same work. URL #equalpay URL,non-rumor
breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,true
cops bought burger king for dylann roof following his arrest URL URL,false
