🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,unverified
an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,unverified
america is a nation of second chances —@potus on new reforms to solitary confinement: URL URL,non-rumor
"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL",non-rumor
rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL,true
"former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL",non-rumor
craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,unverified
just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,true
"the day #ferguson cops told a dirty, bloody lie (via @thedailybeast): URL URL",unverified
#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,false
a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL,false
islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL,false
alpha male rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL,false
เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL,false
"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.",unverified
report: more american fifth-graders taking gap year to unwind before middle school URL URL,non-rumor
a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL,unverified
"report: amazon plans to open its first physical store, in new york URL",false
"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL",non-rumor
"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL",true
a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL,false
nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL,non-rumor
reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way,unverified
"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide. URL",false
"reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists #ferguson",unverified
afghan woman picked up her dead son's gun and helped kill 25 taliban militants to save village URL URL,unverified
"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot"" URL",unverified
